Article,Total Words,Total Syllables,Average Syllables Per Word
bctech2130.txt,234,462,1.9743589743589745
bctech2131.txt,259,481,1.8571428571428572
bctech2132.txt,249,467,1.8755020080321285
bctech2133.txt,202,406,2.00990099009901
bctech2134.txt,222,468,2.108108108108108
bctech2135.txt,767,1183,1.5423728813559323
bctech2136.txt,275,463,1.6836363636363636
bctech2137.txt,631,996,1.578446909667195
bctech2138.txt,350,564,1.6114285714285714
bctech2139.txt,554,879,1.5866425992779782
bctech2140.txt,542,859,1.584870848708487
bctech2141.txt,454,748,1.6475770925110131
bctech2142.txt,446,711,1.594170403587444
bctech2143.txt,351,622,1.772079772079772
bctech2144.txt,364,642,1.7637362637362637
bctech2145.txt,325,607,1.8676923076923078
bctech2146.txt,324,598,1.845679012345679
bctech2147.txt,344,600,1.744186046511628
bctech2148.txt,385,648,1.683116883116883
bctech2149.txt,361,641,1.7756232686980609
bctech2150.txt,496,847,1.7076612903225807
bctech2151.txt,960,1541,1.6052083333333333
bctech2152.txt,610,1158,1.8983606557377048
bctech2153.txt,916,1578,1.722707423580786
bctech2154.txt,1414,2162,1.528995756718529
bctech2155.txt,482,774,1.6058091286307055
bctech2156.txt,255,486,1.9058823529411764
bctech2157.txt,266,437,1.6428571428571428
